SampleID,X,Y,Z,dist_fault,Lith_Schist,Lith_AndesiteTuff,slope,aspect,Pb,Cu,Zn,dist_to_Cu_hotspot,dist_to_Pb_hotspot,dist_to_Zn_hotspot,Cu_knn_mean,Cu_knn_std,Pb_knn_mean,Pb_knn_std,Zn_knn_mean,Zn_knn_std
174,531602.34,4418727.49,263,979.528188,1,0,9.641413689,96.3401947,25,43,80,132.5250477,132.5250477,182.024892,107.875,121.4973637,64.375,62.82105041,83.125,26.45012996
175,532651.87,4418054.47,226,1417.881216,1,0,18.90150833,283.46521,45,10,30,623.5485759,423.5100537,341.5656271,12.75,4.683748499,35,9.354143467,43.125,20.30047721
176,532615.49,4418082.81,203,1387.298279,1,0,27.74987602,281.3099365,25,15,60,577.4195363,385.5613963,297.7829962,14.25,4.841229183,33.75,8.569568251,49.375,21.42392063
177,532576.7,4418112.07,184,1355.446556,1,0,19.08158493,282.5288086,40,23,80,528.8125701,336.9545048,252.2658513,14.75,4.52078533,35.625,5.829611908,58.75,19.64529206
178,532538.79,4418140.4,180,1325.234577,1,0,7.528373241,62.5255661,35,20,75,481.4689825,289.6113361,209.1742475,17.375,3.739568825,34.375,3.903123749,75.625,14.67086824
179,532501.66,4418168.21,185,1296.655227,1,0,14.0945816,57.20046997,35,15,75,435.0616607,243.2045948,169.1845427,17.375,3.739568825,35,2.5,79.375,14.88235112
180,532463.08,4418198,183,1268.349237,1,0,20.96728897,21.54097748,35,13,60,386.3022771,194.4443113,132.3029017,16.375,2.446298224,37.5,12.5,78.75,15.36025716
181,532423.4,4418227.42,171,1240.153066,1,0,4.750816345,16.38954163,35,15,95,336.8888327,145.0325211,104.4070694,25,20.49390153,43.125,11.97327754,100,51.35659646
182,532385.94,4418256.67,172,1215.318982,1,0,11.9032135,159.1455383,70,18,110,289.3491296,97.49071537,96.87883094,25.25,20.41904748,58.75,36.03383826,112.5,56.844085
183,532345.99,4418285.91,190,1189.576065,1,0,27.83595276,167.6919861,50,15,65,239.8288085,47.97729425,47.97729425,18.625,3.568525606,66.25,36.80607966,106.25,32.95356582
184,532308.24,4418315.49,207,1167.502277,1,0,14.79650497,186.115509,150,15,180,191.8586304,0,0,18.625,3.568525606,73.75,33.61082415,107.5,32.40370349
185,532268.98,4418344.48,200,1145.399812,1,0,11.13741779,192.3807678,65,23,95,143.039231,48.82225952,48.82225952,43.875,34.41089035,136.25,117.9446374,143.125,99.90425104
